Ti,CdS,M_i_S_site,3.094,22.066,0,-1,4,4,0.75,3,4,0.61,47.88,1.32,658,1.448,20,1.54,22,4
B,CdTe,M_i_old,1.581,4.859,0,0,2,13,0.5,3,3,0.23,10.811,0.82,800.6,0.98,27,2.04,5,3
Pt,CdTe,M_i_old,1.531,4.625,0,0,6,10,0.5,3,3,0.63,195.08,1.3,870,1.38,205.3,2.28,78,4
Ir,CdTe,M_Te,-0.801,0.449,-2,1,6,9,1,4,0,-0.34,64.62,-0.09,10.8,-0.243,-40.15,0.1,25,-3
Se,CdTe,M_Cd,-0.748,0.473,2,5,4,16,0,0,4,-0.45,-33.45,-0.25,73.2,-0.089,194.96,0.86,-14,4
Ge,CdTe,M_Te,2.049,7.758,-2,-4,4,14,1,4,0,-0.44,-54.99,-0.14,-107.1,-0.23,-70.15,-0.09,-20,-2
Sc,CdTe,M_i_Cd_site,1.787,5.97,0,0,4,3,0.25,4,3,0.75,44.9559,1.44,631,1.606,18.1,1.36,21,3
As,CdTe,M_Cd,2.362,10.608,2,0,4,15,0,0,4,-0.37,-37.4884,-0.21,79.3,-0.099,77,0.47,-15,3
Ag,CdSe,M_i_old,2.965,19.388,0,-2,5,11,0.5,3,3,1.15,107.868,1.34,731,1.444,125.7,1.93,47,2
Zn,CdS,M_S,2.814,16.67,-2,-4,4,12,1,4,0,0.45,33.324,0.23,-93.18,0.062,-200.42,-0.93,14,-4
Ag,CdTe,M_i_Cd_site,2.089,8.079,0,-1,5,11,0.25,4,3,1.15,107.868,1.34,731,1.444,125.7,1.93,47,2
Co,CdSe,M_i_old,-0.321,0.725,0,2,4,9,0.5,3,3,0.65,58.9332,1.16,758,1.253,70,1.88,27,3
I,CdS,M_S,3.177,23.98,-2,-3,5,17,1,4,0,1.91,94.8385,0.31,8.82,0.06,94.88,0.08,37,1
Nb,CdTe,M_i_Cd_site,-0.385,0.68,0,3,5,5,0.25,4,3,0.64,92.9064,1.34,664,1.429,96,1.6,41,5
Te,CdTe,M_i_old,0.604,1.83,0,2,5,16,0.5,3,3,0.97,127.6,1.36,869.2,1.6,190.15,2.1,52,6
Y,CdTe,M_Te,0.708,2.03,-2,-1,5,3,1,4,0,0.05,-38.6941,0.26,-253.2,0.21,-190.15,-0.88,-13,-3
Ta,CdTe,M_i_Cd_site,0.968,2.634,0,2,6,5,0.25,4,3,0.64,180.9479,1.34,761,1.43,60,1.5,73,5
C,CdTe,M_i_Te_site,2.291,9.888,0,-2,2,14,0.75,3,4,0.16,12.011,0.77,1086.4,0.91,122.3,2.55,6,4
Cd,CdSe,M_Se,-0.658,0.518,-2,1,5,12,1,4,0,0.45,33.45,0.25,-73.2,0.089,194.96,0.86,14,4
Ni,CdTe,M_i_old,0.416,1.517,0,1,4,10,0.5,3,3,0.69,58.6934,1.15,736.7,1.246,111,1.91,28,3
Cd,CdTe,M_Cd,2.371,10.703,2,0,5,12,0,0,4,0,0,0,0,0,0,0,0,0
B,CdTe,M_Cd,-0.975,0.377,2,5,2,13,0,0,4,-0.72,-101.599,-0.59,-67.1,-0.509,27,0.35,-43,1
Sc,CdTe,M_Cd,2.431,11.37,2,0,4,3,0,0,4,-0.2,-67.4541,0.03,-236.7,0.117,18.1,-0.33,-27,1
Tl,CdTe,M_Te,1.825,6.205,-2,-4,6,13,1,4,0,0.62,76.783,0.12,-279.9,0.11,-160.15,-0.06,29,-3
Bi,CdTe,M_i_old,-0.601,0.548,0,3,6,15,0.5,3,3,1.03,208.9804,1.46,703.3,1.7,110,2.02,83,5
Be,CdTe,M_i_Te_site,1.276,3.581,0,1,2,2,0.75,3,4,0.45,9.01218,0.9,899.4,1.12,-240,1.57,4,2
Rb,CdTe,M_i_old,2.691,14.753,0,-2,5,1,0.5,3,3,1.61,85.4678,2.16,403,2.48,46.89,0.82,37,4
Tl,CdTe,M_Te,0.427,1.533,-2,1,6,13,1,4,0,0.62,76.783,0.12,-279.9,0.11,-160.15,-0.06,29,-3
Ag,CdTe,M_Cd,-0.526,0.591,2,4,5,11,0,0,4,0.2,-4.542,-0.07,-136.7,-0.045,125.7,0.24,-1,0
Te,CdTe,M_Te,-0.197,0.821,-2,-1,5,16,1,4,0,0,0,0,0,0,0,0,0,0
Zr,CdTe,M_Cd,-0.777,0.46,2,5,5,4,0,0,4,-0.11,-21.186,0.04,-207.7,0.111,50,-0.36,-8,2
N,CdTe,M_i_Te_site,0.697,2.007,0,3,2,15,0.75,3,4,1.71,14.0067,0.75,1402.3,0.92,-7,3.04,7,5
Zr,CdTe,M_i_Cd_site,2.12,8.329,0,-1,5,4,0.25,4,3,0.84,91.224,1.45,660,1.6,50,1.33,40,4
F,CdTe,M_i_old,2.25,9.485,0,-2,2,17,0.5,3,3,1.33,18.9984,0.72,1681,0.72,328,3.98,9,1
Ni,CdTe,M_i_Te_site,2.301,9.987,0,-2,4,10,0.75,3,4,0.69,58.6934,1.15,736.7,1.246,111,1.91,28,3
Zn,CdTe,M_i_Cd_site,2.386,10.87,0,-2,4,12,0.25,4,3,0.74,65.39,1.25,906.4,1.332,0,1.65,30,2
